Moisture (14%) ,Foreign Matter (0.5%),Broken (15%),Red & Chalky grains (7%),Damaged Grain (2%),Discolored grain(2%),Mixed ( lower class) (10%) (Other Grain),Final Value,Grade
13.2,0.4,14.6,4.9,1.2,1.2,8.1,8.603,B
13.4,0.2,13.6,2.8,1.8,1.6,7.4,8.468,B
13.3,0.3,13.5,3.4,1.2,1.6,6.2,8.434,B
13.3,0.4,10.2,4.5,1.7,1.3,6.1,8.219,B
13.1,0.1,11.9,3.8,1.9,1.2,7.3,8.188,B
13.2,0.3,14.9,4.9,1.2,1.4,5.6,8.621,B
13.3,0.2,14.6,4.5,1.4,1.2,5.8,8.597,B
13.5,0.2,13.7,5.9,1.5,1.5,5.2,8.723,C
13.2,0.1,14.2,2.7,1.2,1.9,5.2,8.377,B
13.4,0.1,12.3,2.8,0.9,1.4,5.6,8.256,B
13.6,0.2,13.4,3.3,0.6,1.5,5.3,8.507,B
13.3,0.2,13.8,3.9,1.3,1.2,5.4,8.469,B
13.3,0.1,14.7,3.5,1.2,1.5,5.6,8.517,B
13.2,0.3,14.2,5.2,1.3,1.4,3.2,8.578,B
13.3,0.3,13.2,5.8,0.9,1.5,3.1,8.55,B
13.1,0.1,14.8,5.2,0.4,1.6,3.8,8.502,B
13.3,0.3,14.8,2.8,1.9,1.2,3.8,8.548,B
13.3,0.2,14.6,3.2,0.5,1.3,3.8,8.456,B
13.1,0.2,13.3,4.5,1.9,1.2,3.8,8.397,B
13.2,0.1,13.8,3.4,1.3,1.8,3.1,8.388,B
13.3,0.3,14.2,3.9,1.5,1.2,4.3,8.541,B
12.2,0.2,10.8,3.5,1.4,1.7,4.6,7.617,A
12.7,0.4,14.2,4.5,1.6,1.9,4.1,8.337,B
13.4,0.4,12.3,3.5,1.5,1.2,3.7,8.393,B
13.9,0.4,12.9,3.2,0.7,1.4,3.8,8.642,B
11.4,0.1,14.3,3.2,1.2,1.5,4.3,7.506,A
12.5,0.1,14.2,3.2,1.6,1.2,3.9,8.058,B
13.8,0.2,14.7,4.9,1.3,1.1,4.3,8.875,C
13.6,0.2,14.2,3.5,0.8,1,4.4,8.593,B
13.5,0,13.2,3.9,0.9,1.3,3.7,8.449,B
13.9,0.3,14.8,3.6,0.3,1.2,3.5,8.808,C
14,0.1,14.8,3.3,1.5,1.3,4.7,8.873,C
12.5,0.1,14.6,3.2,1.6,0.9,4.1,8.086,B
12.8,0.3,13.3,3.5,1.4,0.4,5.2,8.135,B
12.4,0.1,13.8,3.1,1.3,1.9,5.8,7.971,B
13.8,0.2,14.2,2.8,1.8,0.5,3.2,8.684,C
14,0.4,10.8,3.6,1.6,1.9,3.5,8.584,B
12.8,0.1,14.2,3.5,0.9,1.3,5.2,8.191,B
14,0.1,12.3,3.6,0.4,1.5,3.2,8.586,B
13.5,0.5,12.9,3.2,0.3,1.4,2.8,8.438,B
13.9,0.3,14.3,3.1,0.9,1.6,4.5,8.775,C
14,0.2,14.2,4.3,0.4,1.5,4.2,8.845,C
12.5,0.2,13.9,2.8,1.6,0.7,3.8,8,B
12.7,0,13.3,3.6,1.6,1.2,5.4,8.076,B
11.9,0,12.7,2.5,1.4,1.6,5.7,7.543,A
12.4,0,12.8,1.9,1.5,1.3,5.6,7.755,A
11.8,0,13.9,2.5,1.6,0.8,5.2,7.593,A
12.5,0.1,10.9,3.2,0.8,0.9,5.6,7.668,A
13.6,0.2,13.6,4.8,1.2,0.3,5.2,8.62,B
13.2,0.1,13.2,4.4,1.9,1.5,5.1,8.422,B
13.6,0.2,14.9,3.6,0.5,1.6,4.9,8.676,C
14,0.1,11.2,4.5,1.9,1.4,5.1,8.625,B
12.9,0.1,12.3,4.6,1.3,1.3,4.8,8.152,B
13.2,0,14.8,4.8,1.5,1.8,5.1,8.578,B
12.9,0.2,13.5,4.1,1.4,1,4.3,8.251,B
13.5,0.3,12.5,4.2,1.6,0.9,5.9,8.486,B
12.5,0.1,14.8,4.1,1.5,0.4,4.1,8.143,B
13.8,0.1,12.4,5.1,0.7,0.3,5.6,8.571,B
14,0.2,12.8,5.1,1.2,0.9,4.8,8.785,C
12.5,0,10.6,5.1,1.6,0.4,5.9,7.779,A
12.4,0.1,12.6,5.2,1.3,1.6,6.2,7.986,B
13.6,0.1,13.7,5.8,0.8,1.6,6.8,8.708,C
14,0.1,13.6,5.2,0.9,1.4,8.4,8.854,C
13.2,0.2,14.6,5.2,0.3,1.5,9.6,8.542,B
13.5,0.1,13.6,5.6,1.5,1.6,9.1,8.676,C
12.5,0,13.5,5.3,1.6,0.8,9.3,8.099,B
12,0.1,10.2,5.4,1.4,1.2,9.3,7.55,A
14,0.2,14.9,5.6,1.3,1.8,9.1,9.072,C
13.1,0.1,14.9,3.2,1.8,1.5,8.1,8.452,B
13.1,0.2,14.6,3.1,1.1,1.3,8.1,8.385,B
12,0.1,13.7,3.8,0.9,1.5,8.9,7.77,A
12.3,0.2,14.2,3.8,0.4,1.6,9.1,7.964,B
12.3,0.4,14.6,3.8,0.3,1.4,9.3,8.03,B
12.7,0.2,13.6,3.8,0.9,1.1,9.1,8.114,B
12.4,0.3,13.5,3.1,0.4,1.6,8.4,7.915,B
12.5,0.3,10.2,4.3,1.6,1.6,7.7,7.791,A
13,0.4,14.9,4.6,1.6,1.5,8.4,8.548,B
12.3,0.2,14.9,4.1,1.4,1.9,9.1,8.127,B
14,0.3,14.6,3.7,1.5,1.5,9.2,8.929,C
12.9,0.3,13.7,3.8,1.6,1.3,8.9,8.294,B
12.2,0.1,14.2,4.3,0.8,1.4,9.6,7.945,B
13.1,0.3,12.3,3.9,1.2,1.7,7.7,8.253,B
12.5,0.2,13.4,4.3,1.8,1.6,9.1,8.103,B
12.9,0.2,13.8,4.4,1.5,1.6,9.2,8.332,B
12.3,0.1,14.7,3.7,1.3,1.9,8.9,8.053,B
12.8,0.1,14.2,3.5,1.5,1.5,9.6,8.235,B
12.9,0.2,13.2,4.7,1.6,1.3,9.2,8.287,B
12.8,0.2,14.8,4.1,1.4,1.9,9.1,8.367,B
13.8,0.1,14.8,5.2,1.1,1.4,8.7,8.886,C
12.9,0.3,14.6,5.8,1.6,1.2,8.7,8.52,B
12.5,0.3,13.3,3.2,1.6,1.6,9.2,8.024,B
12.7,0.3,13.8,3.5,1.5,1.2,8.7,8.173,B
12.7,0.3,14.2,5.2,1.9,0.4,8.1,8.324,B
13.1,0.2,10.8,3.2,1.5,1.2,4.6,8.032,B
13,0.2,14.2,2.8,1.3,0.3,4.6,8.246,B
12.5,0.1,12.3,4.5,1.4,1.6,8.4,7.963,B
11.6,0.3,12.9,4.2,1.7,1.2,6.3,7.594,A
11.7,0.2,14.3,3.8,1.6,1.8,9.6,7.754,A
12.5,0.4,14.2,5.4,1.6,1.8,8.2,8.296,B
12.5,0.2,14.9,5.7,1.9,1.6,5.6,8.357,B
12.5,0.2,14.6,5.6,1.5,1.3,8.4,8.284,B
12.7,0.2,13.7,5.2,1.3,1.4,7.7,8.258,B
12.3,0.1,14.2,5.6,1.9,1.5,8.4,8.156,B
12.5,0.3,13.2,5.2,1.4,1.2,9.1,8.126,B
12.8,0.2,13.4,5.1,1.2,1.3,9.2,8.261,B
13,0.3,13.8,4.9,1.6,1.1,8.9,8.423,B
10.8,0.1,14.7,5.1,1.2,1.1,9.6,7.363,A
11.3,0.4,14.2,4.8,1.2,1.6,7.7,7.622,A
10.8,0.1,13.2,5.1,1.2,1.5,9.1,7.229,A
12.2,0.2,14.8,4.3,0.3,1.4,9.2,7.995,B
12.8,0.2,14.8,5.9,1.6,1.8,8.9,8.501,B
12.2,0.2,14.6,4.1,1.2,1.9,9.6,8.035,B
12.5,0.3,13.3,5.6,1.8,1.5,9.2,8.2,B
12.2,0.4,13.8,4.8,1.8,1.2,9.1,8.052,B
12,0.2,12.5,5.9,1.6,1.6,8.7,7.863,B
12.2,0.1,10.8,4.3,1.3,1.8,8.7,7.651,A
11.8,0.4,14.2,5.7,1.4,1,9.2,7.923,B
11.8,0,12.3,4.5,1.5,1.3,8.7,7.587,A
11.6,0.1,12.9,3.8,1.2,1.2,8.1,7.496,A
12.8,0,14.3,4.3,1.3,1.3,4.6,8.261,B
11.6,0.4,12.9,4.6,1.1,0.9,4.6,7.594,A
13.8,0.5,14.2,4.1,1.1,0.4,8.2,8.789,C
13.1,0,13.5,3.7,1.6,1.9,7.7,8.331,B
13.9,0,13.6,3.8,1.5,0.5,9.1,8.686,C
13,0.1,12.9,4.1,1.4,1.9,9.2,8.257,B
13.3,0,12.4,4.3,1.8,1.3,8.9,8.351,B
13.3,0.2,12.8,3.9,1.9,1.5,9.6,8.417,B
13.1,0.4,10.6,4.3,1.5,1.4,9.1,8.137,B
13.8,0.1,12.6,4.1,1.2,1.6,8.7,8.603,B
13,0.4,13.7,4.3,1.6,1.5,8.7,8.407,B
12.9,0.3,13.6,3.7,1.6,0.7,6.8,8.253,B
13,0.1,14.6,5.4,1.2,1.2,8.1,8.478,B
12.7,0.1,13.6,4.2,1.3,1.6,7.4,8.166,B
12.8,0.3,13.5,4.9,1.4,1.3,6.2,8.289,B
13,0.1,10.2,4.5,1.5,0.8,8.4,7.977,B
13.8,0.2,11.9,4.6,1.2,0.9,7.7,8.56,B
12,0.4,14.9,4.4,1.2,0.3,8.4,7.962,B
13.1,0.1,14.6,5.3,1.6,1.5,9.1,8.557,B
12.6,0.1,13.7,5.9,1.4,1.6,9.2,8.251,B
12.4,0.5,14.2,5.7,1.5,1.4,8.9,8.265,B
13.2,0.3,12.3,4.3,1.3,1.3,9.6,8.321,B
